"LastWriteTime","Length","RelativePath"
"29/06/2026 12:31:24","1067",".env"
"29/06/2026 14:19:06","1560",".gitignore"
"29/06/2026 14:51:31","625867","dashboard\dashboard_data\dashboard_data.json"
"29/06/2026 14:51:37","25377","dashboard\dashboard_gouvernance\dashboard_gouvernance_data.json"
"29/06/2026 13:32:03","13375","dashboard\dashboard_gouvernance\reports\audit_gouvernance_20260629_113203.md"
"29/06/2026 14:51:37","13375","dashboard\dashboard_gouvernance\reports\audit_gouvernance_20260629_125137.md"
"29/06/2026 14:37:17","61531","dashboard\dashboard_knowledges_tool\knowledge_dashboard_data.json"
"29/06/2026 14:51:51","7246","dashboard\dashboard_security\dashboard_security.json"
"29/06/2026 14:53:07","3924","dashboard\dashboard_tests\dashboard_test.json"
"29/06/2026 14:53:07","3924","dashboard\dashboard_tests\dashboard_tests.json"
"29/06/2026 14:39:51","367","data\preferences_profile.json"
"29/06/2026 14:52:24","233472","data\memory\alfred_memory.db"
"29/06/2026 14:52:24","86379","data\memory\episodes.json"
"29/06/2026 14:52:25","22063","data\memory\wellbeing_log.json"
"29/06/2026 14:49:16","21371","data\memory\episodic\dialogue_history.json"
"29/06/2026 14:11:20","467","data\memory\sessions\session_20260629_141120.json"
"29/06/2026 14:20:08","467","data\memory\sessions\session_20260629_142008.json"
"29/06/2026 14:28:07","467","data\memory\sessions\session_20260629_142807.json"
"29/06/2026 14:35:19","467","data\memory\sessions\session_20260629_143519.json"
"29/06/2026 14:52:24","467","data\memory\sessions\session_20260629_145224.json"
"29/06/2026 14:51:15","690","data\profile\personality_celine.json"
"29/06/2026 14:52:08","2","data\security\behavior_baseline.json"
"29/06/2026 14:52:10","44","data\security\fernet.key"
"29/06/2026 14:52:12","150403","data\security\incident_register.json"
"29/06/2026 14:52:12","1209","data\security\mfa_secrets.json"
"29/06/2026 14:25:55","361","data\security\pins.json"
"29/06/2026 14:52:23","992","data\security\trusted_devices.json"
"29/06/2026 14:29:08","269","data\settings\camera_labels.json"
"29/06/2026 14:29:14","82","data\settings\device_settings.json"
"29/06/2026 14:52:10","24472","demo\alfred_security_report.html"
"29/06/2026 13:08:47","148685","knowledges\knowledge_registry.json"
"29/06/2026 14:14:33","74187","knowledges\taxonomy.json"
"29/06/2026 12:48:47","5874","knowledges\arts\architecture_styles.json"
"29/06/2026 12:48:19","5960","knowledges\arts\cinema_history.json"
"29/06/2026 12:46:45","5846","knowledges\arts\music_theory.json"
"29/06/2026 12:47:17","6605","knowledges\arts\painting_history.json"
"29/06/2026 12:49:21","5917","knowledges\arts\photography_basics.json"
"29/06/2026 12:47:47","6289","knowledges\arts\world_literature.json"
"29/06/2026 12:28:07","3365","knowledges\culture\culture_generale\algebra_fundamentals.json"
"29/06/2026 12:28:07","3531","knowledges\culture\culture_generale\ancient_civilizations.json"
"29/06/2026 12:28:09","3360","knowledges\culture\culture_generale\ancient_rome.json"
"29/06/2026 12:28:06","3785","knowledges\culture\culture_generale\architecture_history.json"
"29/06/2026 12:28:06","3515","knowledges\culture\culture_generale\astronomy_cosmos.json"
"29/06/2026 12:28:09","3980","knowledges\culture\culture_generale\biodiversity.json"
"29/06/2026 12:28:09","3782","knowledges\culture\culture_generale\biology_essentials.json"
"29/06/2026 12:28:05","3385","knowledges\culture\culture_generale\calculus_concepts.json"
"29/06/2026 12:28:06","3512","knowledges\culture\culture_generale\chemistry_basics.json"
"29/06/2026 12:28:06","3997","knowledges\culture\culture_generale\climate_change.json"
"29/06/2026 12:28:06","4164","knowledges\culture\culture_generale\climate_zones.json"
"29/06/2026 12:28:09","3584","knowledges\culture\culture_generale\cold_war.json"
"29/06/2026 12:28:07","3832","knowledges\culture\culture_generale\conservation_biology.json"
"29/06/2026 12:28:07","3657","knowledges\culture\culture_generale\earth_sciences.json"
"29/06/2026 12:28:08","4555","knowledges\culture\culture_generale\economics_fundamentals.json"
"29/06/2026 12:28:09","3968","knowledges\culture\culture_generale\ecosystems.json"
"29/06/2026 12:28:09","3596","knowledges\culture\culture_generale\geometry_basics.json"
"29/06/2026 12:28:06","3438","knowledges\culture\culture_generale\industrial_revolution.json"
"29/06/2026 12:28:08","3547","knowledges\culture\culture_generale\internet_history.json"
"29/06/2026 12:28:10","3889","knowledges\culture\culture_generale\linear_algebra.json"
"29/06/2026 12:28:07","4185","knowledges\culture\culture_generale\literature_classics.json"
"29/06/2026 12:28:07","4236","knowledges\culture\culture_generale\major_rivers_lakes.json"
"29/06/2026 12:28:06","4545","knowledges\culture\culture_generale\martial_arts_world.json"
"29/06/2026 12:28:09","3957","knowledges\culture\culture_generale\medical_history.json"
"29/06/2026 12:28:05","4016","knowledges\culture\culture_generale\mountain_ranges.json"
"29/06/2026 12:28:09","3963","knowledges\culture\culture_generale\music_theory.json"
"29/06/2026 12:28:06","3485","knowledges\culture\culture_generale\number_theory.json"
"29/06/2026 12:28:05","3537","knowledges\culture\culture_generale\ocean_seas.json"
"29/06/2026 12:28:07","3269","knowledges\culture\culture_generale\olympic_sports.json"
"29/06/2026 12:28:09","4496","knowledges\culture\culture_generale\philosophy_western.json"
"29/06/2026 12:28:06","4210","knowledges\culture\culture_generale\photography_basics.json"
"29/06/2026 12:28:07","3053","knowledges\culture\culture_generale\physics_fundamentals.json"
"29/06/2026 12:28:06","3345","knowledges\culture\culture_generale\quantum_mechanics.json"
"29/06/2026 12:28:07","3516","knowledges\culture\culture_generale\renaissance_era.json"
"29/06/2026 12:28:06","3932","knowledges\culture\culture_generale\renewable_energy.json"
"29/06/2026 12:28:09","4039","knowledges\culture\culture_generale\visual_arts.json"
"29/06/2026 12:28:05","3142","knowledges\culture\culture_generale\world_capitals.json"
"29/06/2026 12:28:06","4334","knowledges\culture\culture_generale\world_cinema.json"
"29/06/2026 12:28:09","3638","knowledges\culture\culture_generale\world_geography.json"
"29/06/2026 12:28:06","3601","knowledges\culture\culture_generale\world_wars.json"
"29/06/2026 12:38:55","5788","knowledges\geography\africa_geography.json"
"29/06/2026 12:38:22","5942","knowledges\geography\asia_geography.json"
"29/06/2026 12:39:22","5408","knowledges\geography\climate_zones.json"
"29/06/2026 12:37:23","5682","knowledges\geography\europe_geography.json"
"29/06/2026 14:51:04","5798","knowledges\geography\world_oceans.json"
"29/06/2026 12:30:41","5678","knowledges\history\ancient_civilizations.json"
"29/06/2026 12:32:39","5816","knowledges\history\cold_war.json"
"29/06/2026 12:31:38","5857","knowledges\history\industrial_revolution.json"
"29/06/2026 14:14:57","6293","knowledges\history\middle_ages.json"
"29/06/2026 12:33:03","5066","knowledges\history\renaissance.json"
"29/06/2026 12:33:32","5137","knowledges\history\world_war_1.json"
"29/06/2026 12:32:09","5958","knowledges\history\world_war_2.json"
"29/06/2026 12:28:05","3965","knowledges\lifestyle\daily_life\gardening_basics.json"
"29/06/2026 12:28:07","3952","knowledges\lifestyle\daily_life\home_maintenance.json"
"29/06/2026 12:28:08","4115","knowledges\lifestyle\daily_life\cooking\cooking_techniques.json"
"29/06/2026 12:28:08","4841","knowledges\lifestyle\health\common_diseases.json"
"29/06/2026 12:28:05","3931","knowledges\lifestyle\health\first_aid_emergency.json"
"29/06/2026 12:28:07","4754","knowledges\lifestyle\health\human_anatomy.json"
"29/06/2026 12:28:08","4676","knowledges\lifestyle\health\mental_health.json"
"29/06/2026 12:28:06","4791","knowledges\lifestyle\health\nutrition_science.json"
"29/06/2026 12:28:06","4597","knowledges\lifestyle\health\pharmacology_basics.json"
"29/06/2026 12:28:06","4121","knowledges\lifestyle\productivity\financial_literacy.json"
"29/06/2026 12:28:07","4324","knowledges\lifestyle\productivity\personal_finance.json"
"29/06/2026 12:50:18","5474","knowledges\mathematics\algebra_basics.json"
"29/06/2026 12:51:07","5056","knowledges\mathematics\calculus_basics.json"
"29/06/2026 12:52:01","5204","knowledges\mathematics\combinatorics.json"
"29/06/2026 12:50:43","5520","knowledges\mathematics\geometry_basics.json"
"29/06/2026 12:51:36","5389","knowledges\mathematics\number_theory.json"
"29/06/2026 12:49:49","5790","knowledges\mathematics\probability_statistics.json"
"29/06/2026 12:45:28","5908","knowledges\medicine\first_aid.json"
"29/06/2026 12:43:12","6165","knowledges\medicine\human_anatomy.json"
"29/06/2026 12:43:44","6494","knowledges\medicine\immune_system.json"
"29/06/2026 12:44:54","6987","knowledges\medicine\mental_health_basics.json"
"29/06/2026 12:44:16","6831","knowledges\medicine\nutrition_basics.json"
"29/06/2026 12:46:13","6559","knowledges\medicine\pharmacology_basics.json"
"29/06/2026 12:42:12","5865","knowledges\philosophy\epistemology.json"
"29/06/2026 12:41:09","6802","knowledges\philosophy\ethics_foundations.json"
"29/06/2026 12:40:35","6318","knowledges\philosophy\existentialism.json"
"29/06/2026 12:41:42","6772","knowledges\philosophy\logic_basics.json"
"29/06/2026 12:42:40","6039","knowledges\philosophy\political_philosophy.json"
"29/06/2026 12:39:55","6545","knowledges\philosophy\stoicism.json"
"29/06/2026 12:54:49","6748","knowledges\practical_skills\cooking_techniques.json"
"29/06/2026 12:55:24","7565","knowledges\practical_skills\critical_thinking.json"
"29/06/2026 12:54:13","6677","knowledges\practical_skills\negotiation.json"
"29/06/2026 12:52:37","6268","knowledges\practical_skills\personal_finance.json"
"29/06/2026 12:53:38","6217","knowledges\practical_skills\public_speaking.json"
"29/06/2026 12:53:06","6169","knowledges\practical_skills\time_management.json"
"29/06/2026 12:28:07","4081","knowledges\professional\business\business_management.json"
"29/06/2026 12:28:10","3600","knowledges\professional\business\global_trade.json"
"29/06/2026 12:28:07","3875","knowledges\professional\business\marketing_principles.json"
"29/06/2026 12:28:06","4784","knowledges\professional\engineering\computer_science_fundamentals.json"
"29/06/2026 12:28:08","4389","knowledges\professional\engineering\programming_languages.json"
"29/06/2026 12:28:06","3925","knowledges\professional\engineering\robotics_automation.json"
"29/06/2026 12:28:07","4278","knowledges\professional\engineering\ai\artificial_intelligence.json"
"29/06/2026 12:28:09","4160","knowledges\professional\engineering\cybersecurite\cybersecurity_basics.json"
"29/06/2026 12:28:07","3580","knowledges\professional\engineering\reasoning\statistics_probability.json"
"29/06/2026 12:29:48","5252","knowledges\science\cosmology.json"
"29/06/2026 12:27:34","6420","knowledges\science\evolution_biology.json"
"29/06/2026 12:28:54","6052","knowledges\science\genetics.json"
"29/06/2026 12:29:19","5859","knowledges\science\neuroscience.json"
"29/06/2026 12:30:12","5218","knowledges\science\organic_chemistry.json"
