"DisplayName","DisplayVersion","Publisher","InstallLocation","InstallDate"
"Antidote - Connectix 12","12.3.537","Druide informatique inc.","C:\Program Files\Druide\Connectix 12\","20260201"
"Antidote 12","12.3.537","Druide informatique inc.","C:\Program Files\Druide\Antidote 12\","20260201"
"Antidote 12 - English module","12.3.537","Druide informatique inc.","C:\Program Files\Druide\Antidote 12\","20260201"
"Antidote 12 - Module français","12.3.537","Druide informatique inc.","C:\Program Files\Druide\Antidote 12\","20260201"
"Apache Tomcat 10.1 Tomcat10 (remove only)","10.1.54","The Apache Software Foundation",,
"Application Verifier x64 External Package (DesktopEditions)","10.1.26100.7705","Microsoft","","20260319"
"Application Verifier x64 External Package (OnecoreUAP)","10.1.26100.7705","Microsoft","","20260319"
"Bang & Olufsen Audio","9.0.278.150","Conexant",,
"Canva","1.122.0","Canva Pty Ltd",,
"ClickOnce Bootstrapper Package for Microsoft .NET Framework","4.8.09256","Microsoft Corporation","","20250707"
"DiagnosticsHub_CollectionService","17.14.36412","Microsoft Corporation","","20251020"
"Discord","1.0.9059","Discord Inc.","C:\Users\celin\AppData\Local\Discord","20262609"
"Docker Desktop","4.43.2","Docker Inc.","C:\Program Files\Docker\Docker",
"FFmpeg","7.1.1","Gyan","C:\Users\celin\AppData\Local\Microsoft\WinGet\Packages\Gyan.FFmpeg_Microsoft.Winget.Source_8wekyb3d8bbwe","20250727"
"FFmpeg (Essentials Build)","7.1.1","Gyan","C:\Users\celin\AppData\Local\Microsoft\WinGet\Packages\Gyan.FFmpeg.Essentials_Microsoft.Winget.Source_8wekyb3d8bbwe","20250727"
"FFmpeg (Shared)","7.1.1","Gyan","C:\Users\celin\AppData\Local\Microsoft\WinGet\Packages\Gyan.FFmpeg.Shared_Microsoft.Winget.Source_8wekyb3d8bbwe","20250727"
"Git","2.54.0","The Git Development Community","C:\Program Files\Git\","20260428"
"GitHub","1.0","Google\Chrome",,"20260513"
"Google Chrome","149.0.7827.103","Google LLC","C:\Program Files\Google\Chrome\Application","20260611"
"icecap_collection_neutral","17.14.36015","Microsoft Corporation","","20250707"
"icecap_collection_x64","17.14.36015","Microsoft Corporation","","20250707"
"icecap_collectionresources","17.14.36015","Microsoft Corporation","","20250707"
"icecap_collectionresourcesx64","17.14.36015","Microsoft Corporation","","20250707"
"IIS 10.0 Express","10.0.10007","Microsoft Corporation","","20250707"
"IIS Express Application Compatibility Database for x64",,,,
"IIS Express Application Compatibility Database for x86",,,,
"IntelliJ IDEA 2026.1","261.22158.277","JetBrains s.r.o.","C:\Program Files\JetBrains\IntelliJ IDEA 2026.1",
"IntelliTraceProfilerProxy","15.0.21225.01","Microsoft Corporation","","20250707"
"Java(TM) SE Development Kit 21.0.10 (64-bit)","21.0.10.0","Oracle Corporation","C:\Program Files\Java\jdk-21.0.10\","20260413"
"Kits Configuration Installer","10.1.26100.7705","Microsoft","","20260319"
"Logiciel Thunderbolt™","17.4.77.400","Intel Corporation","","20231223"
"Microsoft .NET 8.0 Templates 8.0.422 (x64)","32.15.6107","Microsoft Corporation","","20260610"
"Microsoft .NET 9.0 Templates 9.0.315 (x64)","36.15.22400","Microsoft Corporation","","20260610"
"Microsoft .NET AppHost Pack - 8.0.28 (x64)","64.112.53549","Microsoft Corporation","","20260610"
"Microsoft .NET AppHost Pack - 8.0.28 (x64_arm64)","64.112.53549","Microsoft Corporation","","20260610"
"Microsoft .NET AppHost Pack - 8.0.28 (x64_x86)","64.112.53549","Microsoft Corporation","","20260610"
"Microsoft .NET AppHost Pack - 9.0.17 (x64)","72.68.53536","Microsoft Corporation","","20260610"
"Microsoft .NET AppHost Pack - 9.0.17 (x64_arm64)","72.68.53536","Microsoft Corporation","","20260610"
"Microsoft .NET AppHost Pack - 9.0.17 (x64_x86)","72.68.53536","Microsoft Corporation","","20260610"
"Microsoft .NET Framework 4.7.2 Targeting Pack","4.7.03062","Microsoft Corporation","","20250707"
"Microsoft .NET Framework 4.7.2 Targeting Pack (Français)","4.7.03062","Microsoft Corporation","","20250707"
"Microsoft .NET Framework 4.8 SDK","4.8.03928","Microsoft Corporation","","20240404"
"Microsoft .NET Framework 4.8 SDK (Français)","4.8.03761","Microsoft Corporation","","20250707"
"Microsoft .NET Framework 4.8 Targeting Pack","4.8.03761","Microsoft Corporation","","20240404"
"Microsoft .NET Host - 9.0.17 (x64)","72.68.53536","Microsoft Corporation","","20260610"
"Microsoft .NET Host - 9.0.17 (x86)","72.68.53536","Microsoft Corporation","","20260610"
"Microsoft .NET Host FX Resolver - 9.0.17 (x64)","72.68.53536","Microsoft Corporation","","20260610"
"Microsoft .NET Host FX Resolver - 9.0.17 (x86)","72.68.53536","Microsoft Corporation","","20260610"
"Microsoft .NET Runtime - 8.0.28 (x64)","64.112.53549","Microsoft Corporation","","20260610"
"Microsoft .NET Runtime - 8.0.28 (x86)","64.112.53549","Microsoft Corporation","","20260610"
"Microsoft .NET Runtime - 9.0.17 (x64)","72.68.53536","Microsoft Corporation","","20260610"
"Microsoft .NET Runtime - 9.0.17 (x86)","72.68.53536","Microsoft Corporation","","20260610"
"Microsoft .NET SDK 9.0.315 (x64) from Visual Studio","9.3.1526.26912","Microsoft Corporation","","20260610"
"Microsoft .NET Standard Targeting Pack - 2.1.0 (x64)","24.0.28113","Microsoft Corporation","","20250707"
"Microsoft .NET Targeting Pack - 8.0.28 (x64)","64.112.53549","Microsoft Corporation","","20260610"
"Microsoft .NET Targeting Pack - 8.0.28 (x86)","64.112.53549","Microsoft Corporation","","20260610"
"Microsoft .NET Targeting Pack - 9.0.17 (x64)","72.68.53536","Microsoft Corporation","","20260610"
"Microsoft .NET Targeting Pack - 9.0.17 (x86)","72.68.53536","Microsoft Corporation","","20260610"
"Microsoft .NET Toolset 9.0.315 (x64)","36.11.55168","Microsoft Corporation","","20260610"
"Microsoft 365 - fr-fr","16.0.20026.20140","Microsoft Corporation","C:\Program Files\Microsoft Office",
"Microsoft ASP.NET Core 8.0.28 Shared Framework (x64)","8.0.28.26269","Microsoft Corporation","","20260610"
"Microsoft ASP.NET Core 8.0.28 Shared Framework (x86)","8.0.28.26269","Microsoft Corporation","","20260610"
"Microsoft ASP.NET Core 8.0.28 Targeting Pack (x64)","8.0.28.26269","Microsoft Corporation","","20260610"
"Microsoft ASP.NET Core 8.0.28 Targeting Pack (x86)","8.0.28.26269","Microsoft Corporation","","20260610"
"Microsoft ASP.NET Core 9.0.17 Shared Framework (x64)","9.0.17.26269","Microsoft Corporation","","20260610"
"Microsoft ASP.NET Core 9.0.17 Shared Framework (x86)","9.0.17.26269","Microsoft Corporation","","20260610"
"Microsoft ASP.NET Core 9.0.17 Targeting Pack (x64)","9.0.17.26269","Microsoft Corporation","","20260610"
"Microsoft ASP.NET Core 9.0.17 Targeting Pack (x86)","9.0.17.26269","Microsoft Corporation","","20260610"
"Microsoft ASP.NET Core Module for IIS Express","12.2.18292.0","Microsoft Corporation","","20250707"
"Microsoft ASP.NET Core Module V2 for IIS Express","17.0.22116.0","Microsoft Corporation","","20250707"
"Microsoft ASP.NET Diagnostic Pack for Visual Studio","17.14.150.18679","Microsoft Corporation","","20260610"
"Microsoft Azure Authoring Tools - v2.9.7","2.9.8999.45","Microsoft Corporation","","20250707"
"Microsoft Azure Compute Emulator - v2.9.7","2.9.8999.43","Microsoft Corporation","","20250707"
"Microsoft Azure Libraries for .NET – v2.9","3.0.2404.2502","Microsoft Corporation","","20250707"
"Microsoft Command Line Utilities 15 for SQL Server","15.0.1300.359","Microsoft Corporation","","20250707"
"Microsoft Edge","149.0.4022.62","Microsoft Corporation","C:\Program Files (x86)\Microsoft\Edge\Application","20260610"
"Microsoft Edge WebView2 Runtime","149.0.4022.62","Microsoft Corporation","C:\Program Files (x86)\Microsoft\EdgeWebView\Application","20260611"
"Microsoft ODBC Driver 17 for SQL Server","17.10.6.1","Microsoft Corporation","","20250707"
"Microsoft OneDrive","26.095.0519.0003","Microsoft Corporation",,
"Microsoft SQL Server 2019 LocalDB ","15.0.4382.1","Microsoft Corporation","","20250707"
"Microsoft System CLR Types pour SQL Server 2019","15.0.2000.5","Microsoft Corporation","","20250707"
"Microsoft Teams Meeting Add-in for Microsoft Office","1.24.31301","Microsoft","","20250227"
"Microsoft TestPlatform SDK Local Feed","17.10.0.9037153","Microsoft","","20250707"
"Microsoft Update Health Tools","5.72.0.0","Microsoft Corporation","","20240514"
"Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.44.35211","14.44.35211.0","Microsoft Corporation",,
"Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.44.35211","14.44.35211.0","Microsoft Corporation",,
"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.44.35211","14.44.35211","Microsoft Corporation","","20250707"
"Microsoft Visual C++ 2022 X64 Debug Runtime - 14.44.35211","14.44.35211","Microsoft Corporation","","20250707"
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.44.35211","14.44.35211","Microsoft Corporation","","20250707"
"Microsoft Visual C++ 2022 X86 Additional Runtime - 14.44.35211","14.44.35211","Microsoft Corporation","","20250707"
"Microsoft Visual C++ 2022 X86 Debug Runtime - 14.44.35211","14.44.35211","Microsoft Corporation","","20250707"
"Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.44.35211","14.44.35211","Microsoft Corporation","","20250707"
"Microsoft Visual Studio 2010 Tools for Office Runtime (x64)","10.0.60910","Microsoft Corporation","c:\Program Files\Common Files\Microsoft Shared\VSTO\10.0\",
"Microsoft Visual Studio 2010 Tools for Office Runtime (x64) Language Pack - FRA","10.0.60910","Microsoft Corporation","","20240404"
"Microsoft Visual Studio Code (User)","1.123.2","Microsoft Corporation","C:\Users\celin\AppData\Local\Programs\Microsoft VS Code\","20260610"
